Country,Happiness Score,GDP per Capita,GDP per Capita,Social Support,Social Support,Healthy Life Expectancy,Healthy Life Expectancy,Freedom to Make Life Choices,Freedom to Make Life Choices,Generosity,Generosity,Perceptions of Corruption,Perceptions of Corruption,Year
Hungary,6.041,10.419,1.754,0.943,1.519,67.5,0.435,0.758,0.501,-0.059,0.105,0.839,0.065,2023
Argentina,6.024,9.959,1.59,0.891,1.388,67.2,0.427,0.823,0.587,-0.089,0.088,0.814,0.082,2023
Honduras,6.023,8.635,1.115,0.766,1.072,64.063,0.341,0.843,0.613,0.097,0.189,0.843,0.062,2023
Uzbekistan,6.014,8.948,1.227,0.875,1.347,65.301,0.375,0.938,0.74,0.23,0.26,0.638,0.208,2023
Malaysia,6.012,10.169,1.665,0.799,1.155,65.662,0.385,0.877,0.659,0.16,0.222,0.758,0.122,2023
Portugal,5.968,10.429,1.758,0.878,1.356,71.25,0.537,0.902,0.693,-0.196,0.031,0.878,0.037,2023
South Korea,5.951,10.693,1.853,0.812,1.188,73.65,0.603,0.717,0.446,-0.046,0.112,0.701,0.163,2023
Greece,5.931,10.288,1.708,0.835,1.247,71.15,0.535,0.568,0.248,-0.24,0.008,0.793,0.097,2023
Mauritius,5.902,9.957,1.589,0.888,1.382,63.85,0.336,0.813,0.574,-0.028,0.121,0.775,0.11,2023
Thailand,5.843,9.751,1.515,0.874,1.344,68.45,0.461,0.85,0.624,0.289,0.291,0.91,0.013,2023
Mongolia,5.84,9.372,1.379,0.933,1.494,60.5,0.244,0.701,0.425,0.19,0.239,0.849,0.058,2023
Kyrgyzstan,5.825,8.486,1.061,0.911,1.439,66.852,0.417,0.934,0.735,0.181,0.234,0.904,0.018,2023
Moldova,5.819,9.499,1.425,0.857,1.302,65.299,0.375,0.84,0.61,-0.08,0.093,0.901,0.02,2023
China,5.818,9.738,1.51,0.836,1.249,68.689,0.468,0.882,0.666,-0.041,0.115,0.727,0.145,2023
Vietnam,5.763,9.287,1.349,0.821,1.212,65.502,0.381,0.939,0.741,-0.004,0.134,0.759,0.122,2023
Paraguay,5.738,9.51,1.428,0.906,1.427,65.9,0.392,0.891,0.678,0.021,0.148,0.843,0.062,2023
Montenegro,5.722,9.813,1.537,0.89,1.385,67.1,0.424,0.805,0.563,0.063,0.17,0.844,0.061,2023
Jamaica,5.703,9.165,1.305,0.867,1.329,66.6,0.411,0.822,0.587,-0.106,0.079,0.875,0.039,2023
Bolivia,5.684,8.985,1.24,0.811,1.187,63.599,0.329,0.868,0.648,-0.063,0.103,0.846,0.06,2023
Russia,5.661,10.21,1.68,0.889,1.383,64.947,0.366,0.719,0.449,-0.03,0.12,0.801,0.091,2023
Bosnia and Herzegovina,5.633,9.616,1.467,0.88,1.361,67.275,0.429,0.746,0.485,0.206,0.247,0.918,0.008,2023
Colombia,5.63,9.584,1.455,0.822,1.213,69.35,0.486,0.804,0.562,-0.104,0.08,0.834,0.068,2023
Dominican Republic,5.569,9.811,1.536,0.827,1.227,64.399,0.351,0.85,0.623,-0.099,0.083,0.657,0.195,2023
Ecuador,5.559,9.27,1.343,0.806,1.173,69.0,0.476,0.802,0.56,-0.108,0.079,0.833,0.069,2023
Peru,5.526,9.402,1.39,0.798,1.153,69.85,0.499,0.794,0.549,-0.119,0.073,0.892,0.027,2023
Philippines,5.523,8.979,1.238,0.78,1.108,62.038,0.286,0.919,0.714,-0.06,0.104,0.732,0.141,2023
Bulgaria,5.466,10.087,1.635,0.918,1.457,66.5,0.408,0.801,0.557,-0.057,0.106,0.911,0.013,2023
Nepal,5.36,8.256,0.979,0.748,1.027,61.847,0.281,0.808,0.567,0.146,0.215,0.783,0.104,2023
Armenia,5.342,9.615,1.466,0.79,1.134,67.789,0.443,0.796,0.551,-0.155,0.053,0.705,0.16,2023
Tajikistan,5.33,8.237,0.972,0.836,1.248,62.226,0.291,0.832,0.599,-0.06,0.104,0.522,0.292,2023
Algeria,5.329,9.3,1.353,0.855,1.298,66.549,0.409,0.571,0.252,-0.117,0.073,0.717,0.152,2023
Hong Kong S.A.R. of China,5.308,10.966,1.951,0.817,1.201,77.28,0.702,0.687,0.407,-0.026,0.123,0.385,0.39,2023
Albania,5.277,9.567,1.449,0.718,0.951,69.15,0.48,0.794,0.549,-0.007,0.133,0.878,0.037,2023
Indonesia,5.277,9.385,1.384,0.804,1.169,63.048,0.314,0.88,0.663,0.531,0.422,0.876,0.038,2023
South Africa,5.275,9.478,1.417,0.907,1.428,56.989,0.149,0.73,0.464,-0.087,0.09,0.902,0.019,2023
Congo (Brazzaville),5.267,8.095,0.921,0.605,0.665,56.85,0.145,0.73,0.464,-0.004,0.134,0.739,0.136,2023
North Macedonia,5.254,9.703,1.498,0.805,1.171,66.5,0.408,0.769,0.515,0.131,0.207,0.902,0.02,2023
Venezuela,5.211,5.527,0.0,0.839,1.257,64.05,0.341,0.659,0.369,0.128,0.205,0.811,0.084,2023
Laos,5.111,8.962,1.232,0.679,0.853,60.946,0.257,0.919,0.715,0.091,0.185,0.703,0.162,2023
Georgia,5.109,9.646,1.477,0.716,0.947,64.95,0.366,0.786,0.539,-0.254,0.0,0.649,0.201,2023
Guinea,5.072,7.88,0.844,0.649,0.776,54.185,0.072,0.659,0.369,0.125,0.204,0.787,0.102,2023
Ukraine,5.071,9.314,1.358,0.878,1.354,64.55,0.355,0.795,0.551,0.24,0.265,0.907,0.016,2023
Ivory Coast,5.053,8.576,1.094,0.572,0.584,55.953,0.12,0.733,0.467,0.003,0.138,0.746,0.131,2023
Gabon,5.035,9.537,1.438,0.746,1.021,58.252,0.183,0.642,0.346,-0.187,0.036,0.786,0.102,2023
Nigeria,4.981,8.496,1.065,0.74,1.007,54.891,0.092,0.718,0.448,0.073,0.176,0.911,0.013,2023
Cameroon,4.973,8.217,0.965,0.686,0.871,55.847,0.118,0.686,0.405,0.015,0.144,0.846,0.059,2023
Mozambique,4.954,7.116,0.57,0.692,0.885,51.53,0.0,0.851,0.625,0.047,0.161,0.66,0.192,2023
Iraq,4.941,9.098,1.281,0.718,0.953,63.415,0.324,0.646,0.351,-0.005,0.134,0.876,0.038,2023
Morocco,4.903,8.973,1.236,0.553,0.535,63.901,0.337,0.787,0.54,-0.231,0.013,0.811,0.085,2023
Iran,4.876,9.61,1.465,0.778,1.102,66.6,0.411,0.593,0.281,0.173,0.229,0.747,0.13,2023
Senegal,4.855,8.155,0.943,0.629,0.727,59.999,0.231,0.772,0.519,0.011,0.142,0.846,0.06,2023
Mauritania,4.724,8.591,1.099,0.644,0.764,60.475,0.244,0.622,0.32,-0.013,0.13,0.657,0.195,2023
Burkina Faso,4.638,7.667,0.768,0.663,0.814,55.461,0.107,0.696,0.419,0.095,0.188,0.771,0.113,2023
Namibia,4.631,9.121,1.289,0.787,1.126,56.851,0.145,0.669,0.383,-0.126,0.069,0.83,0.071,2023
Turkiye,4.614,10.307,1.714,0.796,1.148,68.663,0.467,0.475,0.125,-0.077,0.095,0.795,0.096,2023
Ghana,4.605,8.596,1.101,0.641,0.756,58.763,0.197,0.777,0.526,0.139,0.211,0.881,0.035,2023
Pakistan,4.555,8.54,1.081,0.601,0.657,57.313,0.158,0.766,0.511,0.008,0.141,0.787,0.102,2023
Niger,4.501,7.091,0.561,0.59,0.628,56.55,0.137,0.788,0.54,0.032,0.154,0.734,0.14,2023
Tunisia,4.497,9.244,1.333,0.73,0.981,67.0,0.422,0.576,0.259,-0.213,0.022,0.907,0.016,2023
Kenya,4.487,8.458,1.051,0.69,0.881,58.499,0.19,0.696,0.418,0.288,0.291,0.852,0.055,2023
Sri Lanka,4.442,9.491,1.422,0.826,1.224,67.15,0.426,0.787,0.539,-0.03,0.12,0.808,0.086,2023
Uganda,4.432,7.716,0.785,0.794,1.144,58.913,0.201,0.701,0.425,0.114,0.197,0.857,0.051,2023
Chad,4.397,7.261,0.622,0.722,0.962,53.125,0.043,0.677,0.393,0.221,0.255,0.807,0.088,2023
Cambodia,4.393,8.385,1.025,0.747,1.024,61.9,0.283,0.958,0.768,0.073,0.176,0.857,0.051,2023
Benin,4.374,8.103,0.924,0.437,0.242,56.095,0.124,0.743,0.481,-0.043,0.114,0.576,0.253,2023
Myanmar,4.372,8.404,1.032,0.787,1.125,61.388,0.269,0.727,0.46,0.491,0.4,0.658,0.194,2023
Bangladesh,4.282,8.685,1.133,0.544,0.513,64.548,0.355,0.845,0.617,0.005,0.139,0.698,0.165,2023
Gambia,4.279,7.648,0.761,0.584,0.614,57.9,0.174,0.596,0.286,0.364,0.332,0.883,0.033,2023
Mali,4.198,7.655,0.763,0.593,0.637,55.403,0.106,0.713,0.441,-0.028,0.121,0.846,0.059,2023
Egypt,4.17,9.367,1.377,0.726,0.972,63.503,0.326,0.732,0.467,-0.183,0.038,0.58,0.25,2023
Togo,4.137,7.673,0.77,0.595,0.642,57.449,0.161,0.657,0.367,0.024,0.149,0.74,0.136,2023
Jordan,4.12,9.13,1.292,0.729,0.98,67.6,0.438,0.77,0.517,-0.15,0.056,0.687,0.173,2023
Ethiopia,4.091,7.739,0.793,0.782,1.114,60.698,0.25,0.72,0.451,0.273,0.283,0.789,0.101,2023
Liberia,4.042,7.277,0.628,0.596,0.644,56.7,0.141,0.735,0.471,0.154,0.219,0.83,0.071,2023
India,4.036,8.759,1.159,0.608,0.674,60.777,0.252,0.897,0.685,0.072,0.175,0.774,0.111,2023
Madagascar,4.019,7.29,0.632,0.65,0.779,58.05,0.178,0.522,0.187,0.075,0.177,0.742,0.134,2023
Zambia,3.982,8.074,0.914,0.694,0.89,55.032,0.095,0.791,0.545,0.098,0.189,0.818,0.08,2023
Tanzania,3.694,7.857,0.836,0.653,0.787,59.401,0.214,0.838,0.607,0.182,0.234,0.554,0.269,2023
Comoros,3.545,8.075,0.914,0.471,0.327,59.425,0.215,0.47,0.117,-0.014,0.129,0.727,0.145,2023
Malawi,3.495,7.302,0.637,0.531,0.479,58.475,0.189,0.75,0.49,0.005,0.139,0.749,0.129,2023
Botswana,3.435,9.629,1.471,0.753,1.041,54.725,0.087,0.742,0.48,-0.215,0.021,0.83,0.071,2023
Congo (Kinshasa),3.207,7.007,0.531,0.652,0.784,55.375,0.105,0.664,0.375,0.086,0.183,0.834,0.068,2023
Zimbabwe,3.204,7.641,0.758,0.69,0.881,54.05,0.069,0.654,0.363,-0.046,0.112,0.766,0.117,2023
Sierra Leone,3.138,7.394,0.67,0.555,0.54,54.9,0.092,0.66,0.371,0.105,0.193,0.858,0.051,2023
Lebanon,2.392,9.478,1.417,0.53,0.476,66.149,0.398,0.474,0.123,-0.141,0.061,0.891,0.027,2023
Afghanistan,1.859,7.324,0.645,0.341,0.0,54.712,0.087,0.382,0.0,-0.081,0.093,0.847,0.059,2023
